SMILES,FRAGMENTS
N1C=CN=N1,70.04;70.0399|70.0399|70.0399|70.0399|70.0399|70.0399
NC1=CC=CC2=CC=CC=C12,144.0807:143.0729:155.0603
NC1=CC2=CC3=CC=CC=C3C=C2C=C1,194.0963:193.0887:177.0698
NC1=C(C=CC=C1)C(O)=O,120.0444:92.0495:138.055;120.0444:92.0495:138.0549
NC1=C(C=CC=C1)C1=CC=CC=C1,170.0963:153.0698:143.0855
NC1=C(O)C=CC=C1,110.06:92.0494:65.0387
NC1=NC=CC=C1,95.0603:78.0338:67.0543
CC(=O)NC1=C(C)C=CC=C1,108.0807:150.0913:93.0573
CC1=NC=CN1,83.0603
CC1=CC2=CC=CC=C2N1,132.0807:117.0572:105.0698
CC(C)N1C(=O)C(=O)C2=CC(C)=CC=C12,162.0549:204.1019:144.0444
CC(=O)C1=C2C=CC=CC2=CC2=CC=CC=C12,221.0961:179.0855:178.0778
O=C1C2=CC=CC=C2CC2=CC=CC=C12,195.0805:177.0699:69.0699
C1=CC=C2C(C=CC3=NC4=CC=CC=C4C=C23)=C1,230.0963:229.0881;230.0964:202.0777:229.0879|230.0962:231.0995:202.0778
COC(=O)C1=CC=CC2=CC=CC=C12,187.0753:144.0569:159.0804
CC(=O)C1=CC(N)=CC=C1,136.0756:94.0651:91.0542
CC1=NNC=C1,83.0603:56.0496:66.0339
CC1=CC=CN=N1,95.0603:68.0495:67.0417
OC1=CC=CN=C1,96.0444:68.0495:67.0417
C1=CN=C2C=CC3=NC=CC=C3C2=C1,181.0759:111.0231:121.0075
CC(=O)NC1=CC=C(O)C=C1,152.0716:110.0622:65.0389;152.0706:110.06:93.0335;152.0705:110.06:93.0335;152.0707:110.0601:134.0601|152.0708:110.06|152.0707:110.0601:134.0603|152.0707:110.0601:134.0602|110.0601:152.0706:92.0495|110.0601:65.0386:93.0335|110.0601:65.0386:93.0335|152.0707:110.06|152.0706:110.0601:65.0384|152.0706:110.0601:134.06|110.0601:152.0706:65.0386|110.0601:65.0386:93.0335|110.06:65.0386:92.0495|152.0706:110.06:134.06;110.06:152.0707:92.0495|110.06:92.0495:93.0336|110.0601:134.0602:152.0709|110.06:134.0602:111.0443
CC(=O)NC1=CC=C(N)C=C1,151.0865:109.0759:92.0494;109.0764:151.0872:92.0499|109.0764:92.0498:108.0686|109.0763:151.0871:133.0765|109.0764:110.0603:133.0765
NC1=CC=C(F)C=C1,112.0556:92.0494:123.0353
COC1=CC=C(C=O)C2=CC=CC=C12,187.0753:144.0569:159.0804
NC1=CC=CC=C1,94.0651:53.0388:105.0447
CC1=CC(C)=NC(C)=C1,122.0964:79.0542:81.0699
CC1=CC=CC(C)=N1,108.0807:91.0542:67.0543
NC(=O)C1=CC=CC=C1,122.06:105.0335:79.0542
O=C(NC1=CC=CC=C1)C1=CC=CC=C1,105.0334:198.0912:120.0443
NCC1=CC=CC=C1,108.0807:91.0542:67.0543
C1=CC=C2N=CC=NC2=C1,131.0603:104.0494:71.0492
N(C1=CC=CC=C1)C1=CC=CC=C1,170.0963:93.0572:92.0494;170.0965:92.0494:93.0571|170.0965:93.0571:92.0494|170.0964:93.0572:92.0495|170.0964:93.0572:92.0495|93.0572:92.0495:170.0963|93.0572:92.0495:65.0386
O=S(=O)(C1=CC=CC=C1)C1=CC=CC=C1,219.0475:141.0004:95.0491
O=S(C1=CC=CC=C1)C1=CC=CC=C1,203.0524:186.0497:125.0055
O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,223.0751:121.0283:178.0775
N1C=CN=C1,69.0448
O1C=CN=C1,70.0288
OC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,NA
C1=CC(=C(C=C1N)N)S(=O)(=O)O,NA
CC1=C(C(=CC=C1)C)N,122.0964:105.0699:107.0729;122.0964:105.07:107.0728|105.0699:79.0542:77.0387|77.0386:51.0227:79.0541;122.0969:105.0703:107.0733|105.0703:122.0969:107.0733|122.0968:107.0733:105.0702|107.0733:105.0702:133.0766
NC(=O)C1=C(C=CC=C1)[N+]([O-])=O,150.0186:78.0338:51.0232
OC1=CC(Cl)=C(Cl)C(Cl)=C1,NA
C1=CC(=C(C=C1N)Cl)Cl,161.9871:127.0183:172.9668
CC(=O)C1=CC=C2C=CC3=CC=CC=C3C2=C1,221.0961:179.0855:178.078
NC1=NNC=N1,85.0508:57.0449:58.0401
CN(C)C1=CC(Br)=CC=C1,200.0068:184.9834:183.9756
C1=CC(=CC=C1N)SC2=CC=C(C=C2)N,217.0793:124.0215:200.0528;124.022:200.0537:217.0803|124.022:199.0459:167.0737|217.0802:124.022:200.0537|124.0219:200.0536:184.1004
CC(=O)NC1=CC=C(C=C1)N,151.0865:109.0759:92.0494;109.0764:151.0872:92.0499|109.0764:92.0498:108.0686|109.0763:151.0871:133.0765|109.0764:110.0603:133.0765
