SMILES,CAS_RN,DTXSID,FRAGMENTS,All,chlorinated,frag_list,n_fragments
N1C=CN=N1,CAS_RN: 288-35-7,DTXSID30870495,70.04;70.0399|70.0399|70.0399|70.0399|70.0399|70.0399,0,0,"[70.0399, 70.04]",2
NC1=CC=CC2=CC=CC=C12,CAS_RN: 134-32-7,DTXSID7020920,144.0807:143.0729:155.0603,0,0,"[143.0729, 144.0807, 155.0603]",3
NC1=CC2=CC3=CC=CC=C3C=C2C=C1,CAS_RN: 613-13-8,DTXSID2024458,194.0963:193.0887:177.0698,0,0,"[177.0698, 193.0887, 194.0963]",3
NC1=C(C=CC=C1)C(O)=O,CAS_RN: 118-92-3,DTXSID8020094,120.0444:92.0495:138.055;120.0444:92.0495:138.0549,0,0,"[92.0495, 120.0444, 138.0549, 138.055]",4
NC1=C(C=CC=C1)C1=CC=CC=C1,CAS_RN: 90-41-5,DTXSID3030189,170.0963:153.0698:143.0855,0,0,"[143.0855, 153.0698, 170.0963]",3
NC1=C(O)C=CC=C1,CAS_RN: 95-55-6,DTXSID8024498,110.06:92.0494:65.0387,0,0,"[65.0387, 92.0494, 110.06]",3
NC1=NC=CC=C1,CAS_RN: 504-29-0,DTXSID0024505,95.0603:78.0338:67.0543,0,0,"[67.0543, 78.0338, 95.0603]",3
CC(=O)NC1=C(C)C=CC=C1,CAS_RN: 120-66-1,DTXSID1024413,108.0807:150.0913:93.0573,0,0,"[93.0573, 108.0807, 150.0913]",3
CC1=NC=CN1,CAS_RN: 616-47-7,DTXSID4022107,83.0603,0,0,[83.0603],1
CC1=CC2=CC=CC=C2N1,CAS_RN: 95-20-5,DTXSID5059117,132.0807:117.0572:105.0698,0,0,"[105.0698, 117.0572, 132.0807]",3
CC(C)N1C(=O)C(=O)C2=CC(C)=CC=C12,CAS_RN: NA,DTXSID00891495,162.0549:204.1019:144.0444,0,0,"[144.0444, 162.0549, 204.1019]",3
CC(=O)C1=C2C=CC=CC2=CC2=CC=CC=C12,CAS_RN: 784-04-3,DTXSID90229061,221.0961:179.0855:178.0778,0,0,"[178.0778, 179.0855, 221.0961]",3
O=C1C2=CC=CC=C2CC2=CC=CC=C12,CAS_RN: 90-44-8,DTXSID1049431,195.0805:177.0699:69.0699,0,0,"[69.0699, 177.0699, 195.0805]",3
C1=CC=C2C(C=CC3=NC4=CC=CC=C4C=C23)=C1,CAS_RN: 225-11-6,DTXSID9075371,230.0963:229.0881;230.0964:202.0777:229.0879|230.0962:231.0995:202.0778,0,0,"[202.0777, 202.0778, 229.0879, 229.0881, 230.0962, 230.0963, 230.0964, 231.0995]",8
COC(=O)C1=CC=CC2=CC=CC=C12,CAS_RN: 2459-24-7,DTXSID00182996,187.0753:144.0569:159.0804,0,0,"[144.0569, 159.0804, 187.0753]",3
CC(=O)C1=CC(N)=CC=C1,CAS_RN: 99-03-6,DTXSID0021830,136.0756:94.0651:91.0542,0,0,"[91.0542, 94.0651, 136.0756]",3
CC1=NNC=C1,CAS_RN: 1453-58-3,DTXSID3073260,83.0603:56.0496:66.0339,0,0,"[56.0496, 66.0339, 83.0603]",3
CC1=CC=CN=N1,CAS_RN: 1632-76-4,DTXSID80167529,95.0603:68.0495:67.0417,0,0,"[67.0417, 68.0495, 95.0603]",3
OC1=CC=CN=C1,CAS_RN: 109-00-2,DTXSID1051563,96.0444:68.0495:67.0417,0,0,"[67.0417, 68.0495, 96.0444]",3
C1=CN=C2C=CC3=NC=CC=C3C2=C1,CAS_RN: 230-07-9,DTXSID30177552,181.0759:111.0231:121.0075,0,0,"[111.0231, 121.0075, 181.0759]",3
CC(=O)NC1=CC=C(O)C=C1,CAS_RN: 103-90-2,DTXSID2020006,152.0716:110.0622:65.0389;152.0706:110.06:93.0335;152.0705:110.06:93.0335;152.0707:110.0601:134.0601|152.0708:110.06|152.0707:110.0601:134.0603|152.0707:110.0601:134.0602|110.0601:152.0706:92.0495|110.0601:65.0386:93.0335|110.0601:65.0386:93.0335|152.0707:110.06|152.0706:110.0601:65.0384|152.0706:110.0601:134.06|110.0601:152.0706:65.0386|110.0601:65.0386:93.0335|110.06:65.0386:92.0495|152.0706:110.06:134.06;110.06:152.0707:92.0495|110.06:92.0495:93.0336|110.0601:134.0602:152.0709|110.06:134.0602:111.0443,0,0,"[65.0384, 65.0386, 65.0389, 92.0495, 93.0335, 93.0336, 110.06, 110.0601, 110.0622, 111.0443, 134.06, 134.0601, 134.0602, 134.0603, 152.0705, 152.0706, 152.0707, 152.0708, 152.0709, 152.0716]",20
CC(=O)NC1=CC=C(N)C=C1,CAS_RN: 122-80-5,DTXSID7024455,151.0865:109.0759:92.0494;109.0764:151.0872:92.0499|109.0764:92.0498:108.0686|109.0763:151.0871:133.0765|109.0764:110.0603:133.0765,0,0,"[92.0494, 92.0498, 92.0499, 108.0686, 109.0759, 109.0763, 109.0764, 110.0603, 133.0765, 151.0865, 151.0871, 151.0872]",12
NC1=CC=C(F)C=C1,CAS_RN: 371-40-4,DTXSID9022027,112.0556:92.0494:123.0353,0,0,"[92.0494, 112.0556, 123.0353]",3
COC1=CC=C(C=O)C2=CC=CC=C12,CAS_RN: 15971-29-6,DTXSID60166717,187.0753:144.0569:159.0804,0,0,"[144.0569, 159.0804, 187.0753]",3
NC1=CC=CC=C1,CAS_RN: 62-53-3,DTXSID8020090,94.0651:53.0388:105.0447,0,0,"[53.0388, 94.0651, 105.0447]",3
CC1=CC(C)=NC(C)=C1,CAS_RN: 108-75-8,DTXSID1051561,122.0964:79.0542:81.0699,0,0,"[79.0542, 81.0699, 122.0964]",3
CC1=CC=CC(C)=N1,CAS_RN: 108-48-5,DTXSID7051557,108.0807:91.0542:67.0543,0,0,"[67.0543, 91.0542, 108.0807]",3
NC(=O)C1=CC=CC=C1,CAS_RN: 55-21-0,DTXSID0021709,122.06:105.0335:79.0542,0,0,"[79.0542, 105.0335, 122.06]",3
O=C(NC1=CC=CC=C1)C1=CC=CC=C1,CAS_RN: 93-98-1,DTXSID9059096,105.0334:198.0912:120.0443,0,0,"[105.0334, 120.0443, 198.0912]",3
